player,player_id,market_value,date_of_birth,age,height,nationality,position,team,signed_from,joined,contract_expires,league,season
Ross Barkley,131978,€5.00m,"Dec 5, 1993",32,1.89,England,Central Midfield,Aston Villa,,"Jul 1, 2024","Jun 30, 2026",GB1,25/26
Brenden Aaronson,393323,€18.00m,"Oct 22, 2000",25,1.77,United States,Attacking Midfield,Leeds,,"Jul 1, 2022","Jun 30, 2027",GB1,25/26
Pedro Lima,1193867,€4.00m,"Jul 1, 2006",19,1.74,Brazil,Right-Back,Wolves,,"Jul 1, 2024","Jun 30, 2029",GB1,25/26
Tyrick Mitchell,730893,€25.00m,"Sep 1, 1999",26,1.81,England,Left-Back,Crystal Palace,,"Jul 1, 2020","Jun 30, 2027",GB1,25/26
Harry Wilson,279455,€25.00m,"Mar 22, 1997",29,1.73,Wales,Right Winger,Fulham,,"Jul 24, 2021","Jun 30, 2026",GB1,25/26
Jacob Bruun Larsen,293281,€5.00m,"Sep 19, 1998",27,1.83,Denmark,Left Winger,Burnley,,"Jul 11, 2025","Jun 30, 2029",GB1,25/26
Ryan Gravenberch,478573,€90.00m,"May 16, 2002",24,1.9,Netherlands,Defensive Midfield,Liverpool,,"Sep 1, 2023","Jun 30, 2032",GB1,25/26
Eliezer Mayenda,967346,€18.00m,"May 8, 2005",21,1.8,Spain,Centre-Forward,Sunderland,,"Jul 28, 2023","Jun 30, 2030",GB1,25/26
Benjamin Lecomte,127181,€1.20m,"Apr 26, 1991",35,1.86,France,Goalkeeper,Fulham,,"Jul 26, 2025","Jun 30, 2027",GB1,25/26
Joe Gomez,256178,€15.00m,"May 23, 1997",28,1.88,England,Centre-Back,Liverpool,,"Jul 1, 2015","Jun 30, 2027",GB1,25/26
Kenny Tete,206746,€11.00m,"Oct 9, 1995",30,1.8,Netherlands,Right-Back,Fulham,,"Sep 10, 2020","Jun 30, 2028",GB1,25/26
Joe Rodon,297212,€15.00m,"Oct 22, 1997",28,1.93,Wales,Centre-Back,Leeds,,"Jul 2, 2024","Jun 30, 2028",GB1,25/26
Mikkel Damsgaard,540941,€30.00m,"Jul 3, 2000",25,1.8,Denmark,Attacking Midfield,Brentford,,"Aug 10, 2022","Jun 30, 2030",GB1,25/26
Pascal Groß,82873,€3.50m,"Jun 15, 1991",34,1.81,Germany,Central Midfield,Brighton,,"Jan 2, 2026","Jun 30, 2027",GB1,25/26
Evanilson,711337,€35.00m,"Oct 6, 1999",26,1.83,Brazil,Centre-Forward,Bournemouth,,"Aug 16, 2024","Jun 30, 2029",GB1,25/26
Harrison Armstrong,1107733,€12.00m,"Jan 19, 2007",19,1.85,England,Central Midfield,Everton,,"Jul 1, 2024","Jun 30, 2028",GB1,25/26
Ashley Barnes,63200,€200k,"Oct 30, 1989",36,1.85,England,Centre-Forward,Burnley,,"Jan 2, 2025","Jun 30, 2026",GB1,25/26
Axel Disasi,386047,€15.00m,"Mar 11, 1998",28,1.91,France,Centre-Back,West Ham,,"Feb 2, 2026","Jun 30, 2026",GB1,25/26
Lukas Nmecha,314288,€10.00m,"Dec 14, 1998",27,1.85,Germany,Centre-Forward,Leeds,,"Jul 1, 2025","Jun 30, 2027",GB1,25/26
Diogo Dalot,357147,€30.00m,"Mar 18, 1999",27,1.83,Portugal,Right-Back,Man Utd,,"Jul 1, 2018","Jun 30, 2028",GB1,25/26
Pascal Struijk,410708,€22.00m,"Aug 11, 1999",26,1.9,Netherlands,Centre-Back,Leeds,,"Jan 1, 2020","Jun 30, 2027",GB1,25/26
Quilindschy Hartman,514285,€18.00m,"Nov 14, 2001",24,1.83,Netherlands,Left-Back,Burnley,,"Jul 1, 2025","Jun 30, 2029",GB1,25/26
Facundo Buonanotte,983989,€16.00m,"Dec 23, 2004",21,1.74,Argentina,Attacking Midfield,Leeds,,"Jan 15, 2026","Jun 30, 2026",GB1,25/26
Wesley Fofana,475411,€28.00m,"Dec 17, 2000",25,1.88,France,Centre-Back,Chelsea,,"Aug 31, 2022","Jun 30, 2029",GB1,25/26
Noah Okafor,346890,€18.00m,"May 24, 2000",25,1.85,Switzerland,Left Winger,Leeds,,"Aug 21, 2025","Jun 30, 2029",GB1,25/26
Jair Cunha,984096,€12.00m,"Mar 7, 2005",21,1.98,Brazil,Centre-Back,Nott'm Forest,,"Jul 11, 2025","Jun 30, 2030",GB1,25/26
Daichi Kamada,356141,€12.00m,"Aug 5, 1996",29,1.8,Japan,Attacking Midfield,Crystal Palace,,"Jul 1, 2024","Jun 30, 2026",GB1,25/26
El Hadji Malick Diouf,1111589,€28.00m,"Dec 28, 2004",21,1.83,Senegal,Left-Back,West Ham,,"Jul 15, 2025","Jun 30, 2030",GB1,25/26
Sven Botman,361093,€35.00m,"Jan 12, 2000",26,1.93,Netherlands,Centre-Back,Newcastle,,"Jul 1, 2022","Jun 30, 2030",GB1,25/26
Andrés García,1063329,€7.00m,"Feb 7, 2003",23,1.85,Spain,Right-Back,Aston Villa,,"Jan 21, 2025",-,GB1,25/26
Nilson Angulo,903611,€17.00m,"Jun 19, 2003",22,1.83,Ecuador,Left Winger,Sunderland,,"Feb 2, 2026","Jun 30, 2030",GB1,25/26
James Ward-Prowse,181579,€6.00m,"Nov 1, 1994",31,1.77,England,Central Midfield,Burnley,,"Jan 28, 2026","Jun 30, 2026",GB1,25/26
Andrey Santos,743600,€45.00m,"May 3, 2004",22,1.8,Brazil,Central Midfield,Chelsea,,"Jan 1, 2023","Jun 30, 2030",GB1,25/26
Maximilian Kilman,525247,€16.00m,"May 23, 1997",28,1.94,England,Centre-Back,West Ham,,"Jul 6, 2024","Jun 30, 2031",GB1,25/26
Jaidon Anthony,684210,€18.00m,"Dec 1, 1999",26,1.83,England,Left Winger,Burnley,,"Jul 1, 2025","Jun 30, 2029",GB1,25/26
James Maddison,294057,€25.00m,"Nov 23, 1996",29,1.75,England,Attacking Midfield,Tottenham,,"Jul 1, 2023","Jun 30, 2028",GB1,25/26
