player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Abdón Prats,Mallorca,0,0.6957777887582779,0,0.11498812586069107,5,2,1.335592957213521,0.6818445790559053,La_liga,25/26
Antonio Sánchez,Mallorca,0,0.5342528652399778,0,1.0588115602731705,6,12,3.9616350531578064,2.470979319885373,La_liga,25/26
Dani Rodríguez,Mallorca,0,0.02346600592136383,0,0.0,1,0,0.09653826057910919,0.07307225465774536,La_liga,25/26
David López,Mallorca,0,0.17963105626404285,0,0.0,4,0,1.6228730790317059,1.6228730790317059,La_liga,25/26
Jan Salas,Mallorca,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Jan Virgili,Mallorca,2,2.593278208747506,4,3.7704717284068465,32,31,7.063589424826205,2.66401737742126,La_liga,25/26
Javi Llabrés,Mallorca,0,0.31350586749613285,0,0.04367212951183319,5,1,0.3589514493942261,0.07487251050770283,La_liga,25/26
Javier Olaizola,Mallorca,0,0.0,0,0.0,0,0,0.07220086455345154,0.07220086455345154,La_liga,25/26
Johan Mojica,Mallorca,0,0.8061857065185905,4,3.9278420032933354,17,35,9.051305999979377,5.788199552334845,La_liga,25/26
Justin-Noel Kalumba,Mallorca,0,0.06393245607614517,0,0.0,1,0,0.33171550184488297,0.2677830457687378,La_liga,25/26
Leo Román,Mallorca,0,0.0,0,0.0,0,0,3.9814230408519506,3.9814230408519506,La_liga,25/26
Lucas Bergström,Mallorca,0,0.0,0,0.0,0,0,0.9126056060194969,0.9126056060194969,La_liga,25/26
Luis Orejuela,Mallorca,0,0.047755200415849686,0,0.0,1,0,0.06520595401525497,0.06520595401525497,La_liga,25/26
Manuel Morlanes,Mallorca,3,1.6544483443722129,0,1.4072198066860437,13,17,8.313975814729929,5.546532068401575,La_liga,25/26
Marash Kumbulla,Mallorca,0,0.0868991632014513,0,0.02258423902094364,3,1,0.6233834195882082,0.5607796404510736,La_liga,25/26
Marc Domenech,Mallorca,0,0.11695468425750732,1,0.5047692880034447,3,2,0.6539514735341072,0.05123499780893326,La_liga,25/26
Martin Valjent,Mallorca,0,0.9677190342918038,0,0.1400438267737627,17,3,9.191905220970511,8.853639227338135,La_liga,25/26
Mateo Joseph,Mallorca,2,5.396834125742316,3,1.5903267217800021,33,13,7.219164989888668,1.7234136806800961,La_liga,25/26
Mateu Morey,Mallorca,1,0.18371310085058212,0,0.516222694888711,4,3,2.1133462972939014,1.4928959049284458,La_liga,25/26
Miguel Calatayud,Mallorca,0,0.028024910017848015,0,0.0,1,0,0.028024910017848015,0.0,La_liga,25/26
Omar Mascarell,Mallorca,2,0.36964960023760796,2,0.6136066876351833,7,8,6.234465690329671,5.480494217947125,La_liga,25/26
Pablo Maffeo,Mallorca,1,0.29758226964622736,2,1.7551907701417804,7,20,8.127348667941988,6.862479947507381,La_liga,25/26
Pablo Torre,Mallorca,4,2.8149523828178644,4,2.9544795835390687,25,34,8.271478340029716,4.640594145283103,La_liga,25/26
